id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,color_score,color_target,sound_target,position_response,figure_tested,occupation,sound_tested,position_tested,sound_score,color_response,color_tested,figure_target,figure_score,figure_response,timestamp,position_score,simulate,sound_response
Lama,male,22,training_transfer,pretest,fcs1,3,1,5,4,blue,star,sounds/B.wav,,1,0,1,,1,Studerende,1,0,1,0,1,0,1,0,1554982062576,,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,6,4,white,circle,sounds/D.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982066163,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,7,4,red,circle,sounds/T.wav,,1,0,0,,1,Studerende,1,0,1,0,1,1,1,1,1554982069771,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,8,4,darkorange,circle,sounds/D.wav,,1,0,0,,1,Studerende,1,0,1,0,1,1,1,1,1554982073414,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,9,4,darkorange,square,sounds/C.wav,,1,1,0,,1,Studerende,1,0,1,1,1,0,1,0,1554982077058,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,10,4,dimgray,triangle,sounds/E.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982080658,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,11,4,green,circle,sounds/E.wav,,1,0,1,,1,Studerende,1,0,1,0,1,0,1,0,1554982084199,,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,12,4,white,star,sounds/P.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982087815,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,13,4,yellow,star,sounds/D.wav,,1,0,0,,1,Studerende,1,0,1,0,1,1,1,1,1554982091452,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,14,4,red,circle,sounds/D.wav,,1,0,1,,1,Studerende,1,0,1,0,1,0,1,0,1554982095071,,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,15,4,red,square,sounds/B.wav,,1,1,0,,1,Studerende,1,0,1,1,1,0,1,0,1554982098708,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,16,4,red,square,sounds/T.wav,,1,1,0,,1,Studerende,1,0,1,1,1,1,0,0,1554982102240,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,17,4,blue,square,sounds/V.wav,,1,0,0,,1,Studerende,1,0,1,0,1,1,1,1,1554982105880,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,18,4,blue,star,sounds/C.wav,,1,1,0,,1,Studerende,1,0,1,1,1,0,1,0,1554982109493,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,19,4,white,star,sounds/G.wav,,1,0,0,,1,Studerende,1,0,1,0,1,1,1,1,1554982113112,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,20,4,blue,triangle,sounds/E.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982116725,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,21,4,yellow,square,sounds/E.wav,,1,0,1,,1,Studerende,1,0,1,0,1,0,1,0,1554982120365,,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,22,4,blue,triangle,sounds/E.wav,,0,0,1,,1,Studerende,1,0,0,1,1,0,1,0,1554982124010,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,23,4,darkorange,square,sounds/C.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982127627,,no,0
