id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_tested,position_score,simulate,figure_response,figure_score,sound_tested,color_tested,sound_target,position_target,figure_target,position_response,color_target,sound_response,color_response,sound_score,occupation,figure_tested,color_score,timestamp
Egern,male,23,training_train,pretest,pc2,2,2,7,1,red,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352145810
Egern,male,23,training_train,pretest,pc2,2,2,8,4,blue,circle,,1,0,no,,,0,1,,1,,0,1,,1,,I arbejde,0,1,1555352148390
Egern,male,23,training_train,pretest,pc2,2,2,9,2,green,circle,,1,1,no,,,0,1,,0,,0,0,,1,,I arbejde,0,0,1555352150974
Egern,male,23,training_train,pretest,pc2,2,2,10,4,red,circle,,1,1,no,,,0,1,,1,,1,0,,0,,I arbejde,0,1,1555352153566
Egern,male,23,training_train,pretest,pc2,2,2,11,5,green,circle,,1,1,no,,,0,1,,0,,0,1,,0,,I arbejde,0,0,1555352156155
Egern,male,23,training_train,pretest,pc2,2,2,12,5,red,circle,,1,1,no,,,0,1,,0,,0,1,,1,,I arbejde,0,1,1555352158741
Egern,male,23,training_train,pretest,pc2,2,2,13,8,dimgray,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352161318
Egern,male,23,training_train,pretest,pc2,2,2,14,2,blue,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352163893
Egern,male,23,training_train,pretest,pc2,2,2,15,8,dimgray,circle,,1,0,no,,,0,1,,1,,0,1,,1,,I arbejde,0,1,1555352166479
Egern,male,23,training_train,pretest,pc2,2,2,16,8,yellow,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352169057
Egern,male,23,training_train,pretest,pc2,2,2,17,4,green,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352171631
Egern,male,23,training_train,pretest,pc2,2,2,18,7,green,circle,,1,1,no,,,0,1,,0,,0,0,,1,,I arbejde,0,0,1555352174212
Egern,male,23,training_train,pretest,pc2,2,2,19,4,red,circle,,1,1,no,,,0,1,,1,,1,0,,0,,I arbejde,0,1,1555352176812
Egern,male,23,training_train,pretest,pc2,2,2,20,3,green,circle,,1,1,no,,,0,1,,0,,0,1,,1,,I arbejde,0,1,1555352179401
Egern,male,23,training_train,pretest,pc2,2,2,21,4,dimgray,circle,,1,1,no,,,0,1,,1,,1,0,,0,,I arbejde,0,1,1555352181982
Egern,male,23,training_train,pretest,pc2,2,2,22,2,dimgray,circle,,1,1,no,,,0,1,,0,,0,0,,1,,I arbejde,0,0,1555352184583
Egern,male,23,training_train,pretest,pc2,2,2,23,4,dimgray,circle,,1,0,no,,,0,1,,1,,0,1,,1,,I arbejde,0,1,1555352187175
Egern,male,23,training_train,pretest,pc2,2,2,24,2,white,circle,,1,0,no,,,0,1,,1,,0,0,,1,,I arbejde,0,0,1555352189764
Egern,male,23,training_train,pretest,pc2,2,2,25,5,red,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352192335
Egern,male,23,training_train,pretest,pc2,2,2,26,4,darkorange,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352194910
Egern,male,23,training_train,pretest,pc2,2,2,27,1,dimgray,circle,,1,1,no,,,0,1,,0,,0,0,,1,,I arbejde,0,0,1555352197493
Egern,male,23,training_train,pretest,pc2,2,2,28,4,red,circle,,1,1,no,,,0,1,,1,,1,0,,0,,I arbejde,0,1,1555352200079
Egern,male,23,training_train,pretest,pc2,2,2,29,7,red,circle,,1,1,no,,,0,1,,0,,0,0,,1,,I arbejde,0,0,1555352202657
Egern,male,23,training_train,pretest,pc2,2,2,30,7,blue,circle,,1,0,no,,,0,1,,0,,1,0,,0,,I arbejde,0,1,1555352205255
Egern,male,23,training_train,pretest,pc2,2,2,31,1,dimgray,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352207826
Egern,male,23,training_train,pretest,pc2,2,2,32,4,darkorange,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352210398
Egern,male,23,training_train,pretest,pc2,2,2,33,5,blue,circle,,1,1,no,,,0,1,,0,,0,0,,1,,I arbejde,0,0,1555352212983
Egern,male,23,training_train,pretest,pc2,2,2,34,8,white,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352215564
Egern,male,23,training_train,pretest,pc2,2,2,35,3,white,circle,,1,1,no,,,0,1,,0,,0,0,,1,,I arbejde,0,0,1555352218151
Egern,male,23,training_train,pretest,pc2,2,2,36,1,blue,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352220728
Egern,male,23,training_train,pretest,pc2,2,2,37,4,yellow,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352223302
Egern,male,23,training_train,pretest,pc2,2,2,38,2,green,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352225878
Egern,male,23,training_train,pretest,pc2,2,2,39,5,yellow,circle,,1,1,no,,,0,1,,0,,0,1,,1,,I arbejde,0,1,1555352228464
Egern,male,23,training_train,pretest,pc2,2,2,40,7,green,circle,,1,1,no,,,0,1,,0,,0,1,,0,,I arbejde,0,0,1555352231041
Egern,male,23,training_train,pretest,pc2,2,2,41,1,dimgray,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352233613
Egern,male,23,training_train,pretest,pc2,2,2,42,8,green,circle,,1,1,no,,,0,1,,0,,0,1,,1,,I arbejde,0,1,1555352236199
Egern,male,23,training_train,pretest,pc2,2,2,43,7,dimgray,circle,,1,1,no,,,0,1,,0,,0,1,,1,,I arbejde,0,1,1555352238797
Egern,male,23,training_train,pretest,pc2,2,2,44,3,blue,circle,,1,1,no,,,0,1,,0,,0,0,,0,,I arbejde,0,1,1555352241369
Egern,male,23,training_train,pretest,pc2,2,2,45,7,blue,circle,,1,1,no,,,0,1,,1,,1,0,,1,,I arbejde,0,0,1555352243981
